Country,Drought,Earthquake,Extreme temperature ,Flood,Insect infestation,Landslide,Mass movement (dry),Storm,Volcanic activity,Wildfire,pop2025
Afghanistan,24.0,153.0,24.0,108.0,12.0,45.0,0.0,48.0,0.0,12.0,43844100
Angola,48.0,0.0,0.0,105.0,0.0,12.0,0.0,0.0,0.0,0.0,39040000
Australia,72.0,48.0,0.0,480.0,48.0,48.0,0.0,504.0,0.0,216.0,26974000
Bangladesh,12.0,60.0,60.0,84.0,0.0,36.0,0.0,204.0,0.0,0.0,175687000
Brazil,432.0,144.0,288.0,1296.0,72.0,432.0,0.0,1062.0,0.0,216.0,212812000
Canada,24.0,0.0,42.0,432.0,0.0,48.0,24.0,600.0,0.0,216.0,40126700
Chile,0.0,120.0,84.0,132.0,0.0,36.0,0.0,96.0,72.0,96.0,19859900
China,0.0,192.0,0.0,768.0,0.0,0.0,144.0,384.0,0.0,0.0,1416100000
Colombia,24.0,258.0,0.0,426.0,24.0,264.0,24.0,168.0,96.0,72.0,53425600
Egypt,0.0,144.0,108.0,324.0,0.0,0.0,36.0,180.0,0.0,0.0,118366000
Ethiopia,12.0,24.0,0.0,237.0,48.0,24.0,12.0,0.0,36.0,12.0,135472000
France,12.0,0.0,0.0,24.0,0.0,12.0,0.0,72.0,0.0,12.0,66650800
Germany,0.0,24.0,0.0,24.0,0.0,12.0,0.0,84.0,0.0,0.0,84075100
India,0.0,294.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,1463870000
Indonesia,72.0,288.0,0.0,384.0,0.0,288.0,0.0,192.0,354.0,144.0,285721000
Iraq,12.0,12.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,47020800
Italy,0.0,12.0,12.0,72.0,0.0,12.0,0.0,48.0,12.0,12.0,59146300
Japan,0.0,48.0,0.0,114.0,0.0,0.0,0.0,72.0,48.0,0.0,123103000
Kenya,12.0,0.0,0.0,120.0,0.0,24.0,0.0,0.0,0.0,0.0,57532500
Mexico,48.0,120.0,120.0,381.0,0.0,84.0,0.0,204.0,60.0,48.0,131947000
Morocco,36.0,12.0,24.0,216.0,24.0,12.0,12.0,24.0,0.0,0.0,38430800
Nigeria,0.0,0.0,72.0,315.0,72.0,36.0,0.0,108.0,0.0,0.0,237528000
Pakistan,0.0,288.0,252.0,504.0,36.0,540.0,36.0,396.0,0.0,0.0,255220000
Peru,48.0,177.0,45.0,192.0,12.0,168.0,12.0,36.0,33.0,12.0,34576700
Senegal,12.0,0.0,0.0,168.0,36.0,0.0,0.0,12.0,0.0,0.0,18932000
Somalia,60.0,0.0,0.0,156.0,0.0,0.0,0.0,12.0,0.0,0.0,19654700
South Africa,72.0,96.0,48.0,504.0,0.0,24.0,0.0,402.0,0.0,144.0,64747300
Spain,0.0,24.0,0.0,60.0,0.0,0.0,0.0,72.0,0.0,24.0,47890000
Thailand,0.0,12.0,0.0,96.0,0.0,36.0,0.0,96.0,0.0,0.0,71619900
Ukraine,0.0,0.0,36.0,81.0,0.0,0.0,0.0,48.0,0.0,0.0,38980400
Zimbabwe,24.0,0.0,0.0,60.0,0.0,0.0,0.0,36.0,0.0,0.0,16950800
